,0
331,430
332,530
333,630
334,280
335,410
336,510
337,295
338,475
339,575
340,405
341,405
342,400
343,400
344,400
345,302
346,467
347,305
348,460
349,560
350,400
351,500
352,305
353,460
354,560
355,470
356,330
357,470
358,360
359,290
360,340
361,520
362,335
363,475
364,310
365,490
366,590
367,458
368,458
369,440
370,440
371,288
372,468
373,308
374,468
375,300
376,500
377,355
378,495
379,355
380,495
381,200
382,540
383,420
384,440
385,295
386,455
387,555
388,295
389,455
390,460
391,425
392,465
393,565
394,260
395,300
396,480
397,580
398,290
399,410
400,530
401,345
402,485
403,485
404,485
405,330
406,300
407,420
408,600
409,700
410,300
411,420
412,600
413,700
414,580
415,580
416,580
417,600
418,700
419,600
420,700
421,670
422,770
423,670
424,770
425,680
426,780
427,600
428,600
429,600
430,600
431,600
432,318
433,405
434,525
435,309
436,405
437,534
438,314
439,405
440,530
441,245
442,340
443,485
444,250
445,410
446,194
447,384
448,263
449,363
450,523
451,280
452,515
453,350
454,495
455,350
456,495
457,224
458,424
459,424
460,424
461,424
462,244
463,474
464,405
465,330
466,495
467,275
468,450
469,325
470,475
471,482
472,348
473,498
474,350
475,480
476,580
477,495
478,505
479,310
480,452
481,285
482,329
483,479
484,300
485,500
486,290
487,310
488,220
489,411
490,485
491,300
492,410
493,600
494,700
495,390
496,285
497,525
498,625
499,330
500,525
501,330
502,500
503,300
504,490
505,454
506,330
507,460
508,345
509,334
510,494
511,594
512,510
513,535
514,515
515,535
516,535
517,540
518,540
519,545
520,515
521,525
522,525
523,510
524,530
525,535
526,518
527,618
528,525
529,525
530,480
531,440
532,520
533,520
534,520
535,520
536,520
537,580
538,580
539,580
540,680
541,680
542,600
543,670
544,680
545,680
546,600
547,480
548,600
549,600
550,600
551,600
552,720
553,600
554,308
555,413
556,528
557,308
558,418
559,528
560,308
561,413
562,528
563,255
564,420
565,275
566,370
567,500
568,281
569,446
570,316
571,498
572,316
573,498
574,316
575,498
576,292
577,487
578,264
579,358
580,488
581,295
582,497
583,280
584,390
585,515
586,313
587,425
588,328
589,508
590,445
591,545
592,305
593,405
594,505
595,294
596,384
597,509
598,465
599,465
600,310
601,380
602,500
603,260
604,360
605,485
606,280
607,480
608,280
609,480
610,460
611,292
612,351
613,519
614,315
615,480
616,540
617,461
618,325
619,475
620,348
621,488
622,490
623,303
624,483
625,355
626,495
627,401
628,567
629,329
630,474
631,330
632,510
633,300
634,470
635,290
636,390
637,490
638,290
639,370
640,490
641,305
642,473
643,305
644,395
645,535
646,335
647,475
648,428
649,315
650,495
651,294
652,464
653,335
654,480
655,470
656,319
657,472
658,305
659,489
660,300
661,440
662,520
663,275
664,405
665,515
666,335
667,485
668,275
669,370
670,520
671,320
672,410
673,540
674,305
675,485
676,485
677,305
678,495
679,471
680,350
681,510
682,485
683,303
684,483
685,340
686,490
687,490
688,350
689,510
690,370
691,510
692,484
693,484
694,300
695,420
696,600
697,360
698,550
699,580
700,580
701,580
702,580
703,580
704,580
705,580
706,680
707,680
708,600
709,600
710,660
711,700
712,700
713,580
714,580
715,600
716,600
717,600
718,313
719,405
720,530
721,307
722,409
723,534
724,314
725,405
726,530
727,237
728,423
729,278
730,382
731,499
732,200
733,213
734,411
735,369
736,507
737,303
738,371
739,552
740,350
741,531
742,348
743,495
744,472
745,355
746,466
747,466
748,325
749,448
750,520
751,520
752,341
753,462
754,341
755,480
756,288
757,482
758,306
759,500
760,320
761,494
762,330
763,500
764,289
765,481
766,362
767,521
768,362
769,521
770,525
771,500
772,431
773,500
774,300
775,452
776,600
777,470
778,309
779,474
780,335
781,335
782,335
783,335
784,494
785,494
786,494
787,494
788,304
789,514
790,245
791,535
792,680
793,680
794,600
795,600
796,700
797,600
798,680
799,600
